feature,importance
NO2_roll3,0.8522048062249051
NO2_lag3,0.03751346687654106
NO2_lag1,0.020048370645321844
hour_sin,0.01016140124011099
SolarRad,0.006737829299541327
NO2_lag24,0.004000641866863147
u,0.0029379163267540705
O3_lag1,0.002685404155666626
NO2_roll24,0.002569742424102882
v,0.0024228014112671996
O3_lag24,0.0021751729699787214
WD,0.002120669536237113
O3_lag6,0.002068266491999179
NO2_roll6,0.001963572852178767
NO2_lag6,0.0018667329101303275
O3_lag3,0.0018530670477765153
WS_roll24,0.0017153921661263152
RH_lag3,0.001647010744140737
AT_roll24,0.0015979177921181958
RH_roll24,0.0015890956474787568
WS,0.0015377500349990562
AT,0.001535019941431251
BP_lag6,0.0015143628037159018
O3_roll6,0.0014962345667522724
AT_lag24,0.0014898554447503008
RH_lag6,0.001454227284946072
O3_roll24,0.0014207354877701396
O3_roll3,0.0014162070249236814
BP_lag24,0.001414185849999527
AT_lag6,0.0013991017952841242
RH_lag24,0.0013850816140280923
hour_cos,0.0013539507612398847
AT_lag3,0.0013377375040692357
BP_roll24,0.001241364954361124
WS_lag3,0.0012210621354361254
RH,0.0012093402408305666
WS_roll6,0.001134400407604282
AT_roll6,0.0011103665915167876
BP_lag3,0.0011099609481103488
WS_lag24,0.0010539597035245135
RH_lag1,0.0010193726058084231
BP,0.0009846447689825183
RH_roll6,0.000938438518131624
AT_roll3,0.0009059516600511389
AT_lag1,0.0009051471128460444
WS_roll3,0.0008739846729347377
WS_lag1,0.0008552500480423119
WS_lag6,0.0008374735998435899
RH_roll3,0.0008179915401178746
hour,0.0008130461685353677
month,0.0007632708995749403
BP_roll6,0.0007509929905491128
BP_roll3,0.0006414324205215468
BP_lag1,0.0006095719148406316
dow_sin,0.0005336923793646382
dow,0.00048681105819850756
dow_cos,0.0003244272678979191
Rain,0.0001717106139752662
is_weekend,5.2606035251545556e-05
